source_id,source_file,source_row,variable_code,issue_code,severity,message,observed_value
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,22:precipitation,precipitation,Q08,medium,duplicate business key,0.0
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,22:shortwave_radiation,shortwave_radiation,Q08,medium,duplicate business key,0.0
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,23:temperature_2m,air_temperature,Q08,medium,duplicate business key,27.5
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,23:wind_speed_10m,wind_speed,Q08,medium,duplicate business key,4.87
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,23:wind_direction_10m,wind_direction,Q08,medium,duplicate business key,117
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,23:precipitation,precipitation,Q08,medium,duplicate business key,0.0
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,23:shortwave_radiation,shortwave_radiation,Q08,medium,duplicate business key,9.0
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,24:temperature_2m,air_temperature,Q08,medium,duplicate business key,27.5
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,24:wind_speed_10m,wind_speed,Q08,medium,duplicate business key,4.68
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,24:wind_direction_10m,wind_direction,Q08,medium,duplicate business key,115
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,24:precipitation,precipitation,Q08,medium,duplicate business key,0.0
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,24:shortwave_radiation,shortwave_radiation,Q08,medium,duplicate business key,121.0
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,25:temperature_2m,air_temperature,Q08,medium,duplicate business key,27.7
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,25:wind_speed_10m,wind_speed,Q08,medium,duplicate business key,4.79
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,25:wind_direction_10m,wind_direction,Q08,medium,duplicate business key,120
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,25:precipitation,precipitation,Q08,medium,duplicate business key,0.0
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,25:shortwave_radiation,shortwave_radiation,Q08,medium,duplicate business key,308.0
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,26:temperature_2m,air_temperature,Q08,medium,duplicate business key,28.4
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,26:wind_speed_10m,wind_speed,Q08,medium,duplicate business key,4.5
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,26:wind_direction_10m,wind_direction,Q08,medium,duplicate business key,127
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,26:precipitation,precipitation,Q08,medium,duplicate business key,0.0
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,26:shortwave_radiation,shortwave_radiation,Q08,medium,duplicate business key,501.0
