task_id,variant,target_month,actual,point_prediction,interval_p05,interval_p95,covered
T3,density,2018-02,0.6215277777777778,0.6826774691358025,0.3121527777777778,0.9940972222222221,True
T3,density,2018-02,0.5920138888888888,0.6826774691358025,0.3121527777777778,0.9940972222222221,True
T3,density,2018-02,0.6440972222222222,0.6826774691358025,0.3121527777777778,0.9940972222222221,True
T3,density,2018-02,0.5017361111111112,0.6826774691358025,0.3121527777777778,0.9940972222222221,True
T3,density,2018-05,0.6927083333333334,0.48823302469135793,0.11770833333333319,0.7996527777777775,True
T3,density,2018-05,0.8246527777777778,0.48823302469135793,0.11770833333333319,0.7996527777777775,False
T3,density,2018-05,0.9704861111111112,0.48823302469135793,0.11770833333333319,0.7996527777777775,False
T3,density,2018-05,0.9947916666666666,0.48823302469135793,0.11770833333333319,0.7996527777777775,False
T3,density,2018-05,0.9166666666666666,0.48823302469135793,0.11770833333333319,0.7996527777777775,False
T3,density,2018-05,0.9461805555555556,0.48823302469135793,0.11770833333333319,0.7996527777777775,False
T3,density,2018-05,0.9652777777777778,0.48823302469135793,0.11770833333333319,0.7996527777777775,False
T3,density,2018-05,0.5677083333333334,0.48823302469135793,0.11770833333333319,0.7996527777777775,True
T3,density,2018-05,0.9201388888888888,0.48823302469135793,0.11770833333333319,0.7996527777777775,False
T3,density,2018-08,0.6371527777777778,0.7804783950617283,0.4099537037037036,1.0,True
T3,density,2018-08,0.4114583333333333,0.7804783950617283,0.4099537037037036,1.0,True
T3,density,2018-08,0.6996527777777778,0.7804783950617283,0.4099537037037036,1.0,True
T3,density,2018-08,0.9149305555555556,0.7804783950617283,0.4099537037037036,1.0,True
T3,density,2018-08,0.8142361111111112,0.7804783950617283,0.4099537037037036,1.0,True
T3,density,2018-08,0.8125,0.7804783950617283,0.4099537037037036,1.0,True
T3,density,2018-08,0.7413194444444444,0.7804783950617283,0.4099537037037036,1.0,True
T3,density,2018-08,0.2673611111111111,0.7804783950617283,0.4099537037037036,1.0,False
T3,density,2018-08,0.9513888888888888,0.7804783950617283,0.4099537037037036,1.0,True
T3,density,2018-11,0.7065972222222222,0.6361882716049383,0.26566358024691356,0.9476080246913579,True
T3,density,2018-11,0.5972222222222222,0.6361882716049383,0.26566358024691356,0.9476080246913579,True
T3,density,2018-11,0.4670138888888889,0.6361882716049383,0.26566358024691356,0.9476080246913579,True
T3,density,2018-11,0.8663194444444444,0.6361882716049383,0.26566358024691356,0.9476080246913579,True
T3,density,2018-11,0.9427083333333334,0.6361882716049383,0.26566358024691356,0.9476080246913579,True
T3,density,2018-11,0.7829861111111112,0.6361882716049383,0.26566358024691356,0.9476080246913579,True
T3,density,2018-11,0.8802083333333334,0.6361882716049383,0.26566358024691356,0.9476080246913579,True
T3,density,2018-11,0.5086805555555556,0.6361882716049383,0.26566358024691356,0.9476080246913579,True
T3,density,2018-11,0.3125,0.6361882716049383,0.26566358024691356,0.9476080246913579,True
T3,density,2019-02,0.3333333333333333,0.6826774691358025,0.3121527777777778,0.9940972222222221,True
T3,density,2019-02,0.3784722222222222,0.6826774691358025,0.3121527777777778,0.9940972222222221,True
T3,density,2019-02,0.6475694444444444,0.6826774691358025,0.3121527777777778,0.9940972222222221,True
T3,density,2019-02,0.4861111111111111,0.6826774691358025,0.3121527777777778,0.9940972222222221,True
T3,density,2019-02,0.2552083333333333,0.6826774691358025,0.3121527777777778,0.9940972222222221,False
T3,density,2019-02,0.4045138888888889,0.6826774691358025,0.3121527777777778,0.9940972222222221,True
T3,density,2019-02,0.3177083333333333,0.6826774691358025,0.3121527777777778,0.9940972222222221,True
T3,density,2019-02,0.3663194444444444,0.6826774691358025,0.3121527777777778,0.9940972222222221,True
T3,density,2019-02,0.24479166666666666,0.6826774691358025,0.3121527777777778,0.9940972222222221,False
T3,density,2019-05,0.2361111111111111,0.48823302469135793,0.11770833333333319,0.7996527777777775,True
T3,density,2019-05,0.4895833333333333,0.48823302469135793,0.11770833333333319,0.7996527777777775,True
T3,density,2019-05,0.8628472222222222,0.48823302469135793,0.11770833333333319,0.7996527777777775,False
T3,density,2019-05,0.625,0.48823302469135793,0.11770833333333319,0.7996527777777775,True
T3,density,2019-05,0.296875,0.48823302469135793,0.11770833333333319,0.7996527777777775,True
T3,density,2019-05,0.6006944444444444,0.48823302469135793,0.11770833333333319,0.7996527777777775,True
T3,density,2019-05,0.5798611111111112,0.48823302469135793,0.11770833333333319,0.7996527777777775,True
