hybas_id,next_down,selection_reason,sub_area_km2,up_area_km2,pfaf_id,order
4080737400,4080733780,upstream_next_down_chain,215.9,3058.7,43491761,2
4080738010,4080743260,upstream_next_down_chain,194.4,194.4,43491206,3
4080738110,4080743260,upstream_next_down_chain,1806.1,2723.5,43491207,2
4080738130,4080733930,intersects_taihu_buffer,843.3,843.3,43502062,3
4080738210,4080738620,upstream_next_down_chain,1925.4,43046.7,43496705,2
4080738230,4080733930,intersects_taihu_buffer,446.7,2173.3,43502063,2
4080738250,4080738620,upstream_next_down_chain,2516.1,2516.1,43496704,3
4080738400,4080752610,upstream_next_down_chain,624.8,624.8,43463038,3
4080738410,4080752610,upstream_next_down_chain,857.9,140621.5,43463037,2
4080738480,4080734080,upstream_next_down_chain,20.3,860.1,43499547,2
4080738490,4080734080,upstream_next_down_chain,706.1,706.2,43499546,3
4080738510,4080752610,upstream_next_down_chain,388.1,388.1,43463036,4
4080738620,4080738860,upstream_next_down_chain,3.9,45566.7,43496703,2
4080738720,4080738860,upstream_next_down_chain,1837.5,1837.5,43496702,3
4080738860,4080743640,upstream_next_down_chain,3.5,47407.4,43496701,2
4080738870,4080743640,upstream_next_down_chain,1016.5,5258.0,43496601,3
4080739250,4080753060,upstream_next_down_chain,999.2,4982.0,43495695,2
4080739350,4080740530,upstream_next_down_chain,520.8,3496.2,43462025,4
4080739420,4080753060,upstream_next_down_chain,1442.6,1442.6,43495694,3
4080739440,4080740530,upstream_next_down_chain,309.8,309.8,43462024,5
4080739530,4080741490,upstream_next_down_chain,624.2,3147.3,43494421,4
4080739540,4080741490,upstream_next_down_chain,654.8,31479.4,43494430,3
4080739660,4080738480,upstream_next_down_chain,420.2,420.2,43499549,2
4080739670,4080738480,upstream_next_down_chain,419.6,419.7,43499548,3
4080739980,4080735690,upstream_next_down_chain,1262.4,1680151.6,43430730,1
4080739990,4080735690,upstream_next_down_chain,1273.1,1273.1,43430720,2
4080740390,4080737140,intersects_taihu_buffer,492.6,2884.0,43502045,2
4080740500,4080737140,intersects_taihu_buffer,857.1,857.2,43502044,3
4080740530,4080741990,upstream_next_down_chain,18.3,3824.5,43462023,4
4080740610,4080737400,upstream_next_down_chain,373.9,2175.6,43491763,2
4080740620,4080741990,upstream_next_down_chain,195.8,195.8,43462022,5
4080740730,4080737400,upstream_next_down_chain,667.0,667.2,43491762,3
4080740780,4080742580,upstream_next_down_chain,219.2,1416.2,43450407,2
4080740850,4080742580,upstream_next_down_chain,763.0,763.0,43450406,3
4080741090,4080738230,intersects_taihu_buffer,301.4,301.5,43502064,3
4080741170,4080746520,upstream_next_down_chain,366.2,23733.1,43494239,3
4080741180,4080746520,upstream_next_down_chain,532.5,532.5,43494238,4
4080741290,4080741840,upstream_next_down_chain,737.9,737.9,43430766,3
4080741300,4080738230,intersects_taihu_buffer,85.0,1424.9,43502065,2
4080741390,4080741980,upstream_next_down_chain,1676.2,1676.2,43462042,5
4080741410,4080741840,upstream_next_down_chain,75.1,1369.2,43430767,2
4080741480,4080744330,upstream_next_down_chain,425.4,425.4,43494418,4
4080741490,4080744330,upstream_next_down_chain,82.0,34708.8,43494419,3
4080741630,4080741980,upstream_next_down_chain,33.0,4359.2,43462043,4
4080741640,4080744210,upstream_next_down_chain,725.9,725.9,43430764,3
4080741710,4080747330,upstream_next_down_chain,957.2,957.2,43498840,4
4080741720,4080747330,upstream_next_down_chain,1539.6,15383.9,43498850,3
4080741770,4080749530,upstream_next_down_chain,832.0,832.0,43494520,3
4080741780,4080749530,upstream_next_down_chain,2602.3,77314.4,43494530,2
4080741820,4080742140,upstream_next_down_chain,238.8,8975.8,43462051,3
4080741830,4080741410,upstream_next_down_chain,933.3,933.4,43430769,2
4080741840,4080744210,upstream_next_down_chain,34.0,2141.0,43430765,2
4080741980,4080742140,upstream_next_down_chain,249.2,6284.6,43462041,4
4080741990,4080744360,upstream_next_down_chain,18.4,4038.6,43462021,4
4080742000,4080741410,upstream_next_down_chain,360.5,360.6,43430768,3
4080742140,4080744360,upstream_next_down_chain,36.1,15296.5,43462030,3
4080742320,4080741630,upstream_next_down_chain,1312.9,1313.1,43462044,5
4080742410,4080741630,upstream_next_down_chain,112.4,3013.1,43462045,4
4080742420,4080745240,upstream_next_down_chain,211.6,211.7,43450404,3
4080742560,4080748330,upstream_next_down_chain,687.0,3298.3,43450803,2
4080742570,4080748330,upstream_next_down_chain,765.1,765.1,43450802,3
4080742580,4080745240,upstream_next_down_chain,109.4,2288.6,43450405,2
4080743150,4080750530,upstream_next_down_chain,2929.2,2929.3,43491204,3
4080743260,4080750530,upstream_next_down_chain,544.1,3461.6,43491205,2
4080743310,4080739980,upstream_next_down_chain,999.6,1676673.3,43430750,1
4080743410,4080739980,upstream_next_down_chain,2218.9,2218.9,43430740,2
4080743520,4080751720,upstream_next_down_chain,624.7,624.8,43496598,3
4080743530,4080752740,upstream_next_down_chain,2174.9,978046.4,43491530,1
4080743640,4080751720,upstream_next_down_chain,442.5,53108.1,43496599,2
4080743670,4080752740,upstream_next_down_chain,1948.7,1948.7,43491520,2
4080743680,4080741300,intersects_taihu_buffer,183.8,992.4,43502067,2
4080743800,4080741300,intersects_taihu_buffer,347.7,347.7,43502066,3
4080744020,4080742410,upstream_next_down_chain,870.0,870.3,43462046,5
4080744190,4080744350,upstream_next_down_chain,403.6,403.6,43462048,5
4080744210,4080745840,upstream_next_down_chain,463.1,3329.6,43430763,2
4080744330,4080750950,upstream_next_down_chain,147.3,35281.4,43494417,3
4080744340,4080744350,upstream_next_down_chain,1118.8,1118.8,43462049,4
4080744350,4080742410,upstream_next_down_chain,508.5,2030.4,43462047,4
4080744360,4080748300,upstream_next_down_chain,126.6,19461.7,43462010,3
4080744580,4080745840,upstream_next_down_chain,266.3,266.6,43430762,3
