source_id,source_file,source_row,station_id,scene_id,observed_at,longitude,latitude,variable_code,source_parameter,observed_value,clean_value,unit,source_unit,value_origin,conversion_rule,is_imputed,imputation_method,imputation_confidence,quality_flags,unit_valid,time_bucket,frequency,source_granularity,aggregation_method,n_obs,missing_flag,aggregation_coverage
taihu_thqbca_history,storage\raw\taihu_thqbca_parsed\thqbca_observations.csv,missing_bucket:1956-07-04T16:00:00+00:00,TAIHU_CLIMATE,,1956-07-04T16:00:00+00:00,,,precipitation,precipitation,,,mm,mm,derived,,False,,,"[""Q01"", ""Q22""]",True,1956-07-04T16:00:00+00:00,daily,daily,none_missing_bucket,0,1,0.0
taihu_thqbca_history,storage\raw\taihu_thqbca_parsed\thqbca_observations.csv,missing_bucket:1956-07-26T16:00:00+00:00,TAIHU_CLIMATE,,1956-07-26T16:00:00+00:00,,,precipitation,precipitation,,,mm,mm,derived,,False,,,"[""Q01"", ""Q22""]",True,1956-07-26T16:00:00+00:00,daily,daily,none_missing_bucket,0,1,0.0
taihu_thqbca_history,storage\raw\taihu_thqbca_parsed\thqbca_observations.csv,missing_bucket:1956-08-02T16:00:00+00:00,TAIHU_CLIMATE,,1956-08-02T16:00:00+00:00,,,precipitation,precipitation,,,mm,mm,derived,,False,,,"[""Q01"", ""Q22""]",True,1956-08-02T16:00:00+00:00,daily,daily,none_missing_bucket,0,1,0.0
taihu_thqbca_history,storage\raw\taihu_thqbca_parsed\thqbca_observations.csv,missing_bucket:1956-08-12T16:00:00+00:00,TAIHU_CLIMATE,,1956-08-12T16:00:00+00:00,,,precipitation,precipitation,,,mm,mm,derived,,False,,,"[""Q01"", ""Q22""]",True,1956-08-12T16:00:00+00:00,daily,daily,none_missing_bucket,0,1,0.0
taihu_thqbca_history,storage\raw\taihu_thqbca_parsed\thqbca_observations.csv,missing_bucket:1956-08-13T16:00:00+00:00,TAIHU_CLIMATE,,1956-08-13T16:00:00+00:00,,,precipitation,precipitation,,,mm,mm,derived,,False,,,"[""Q01"", ""Q22""]",True,1956-08-13T16:00:00+00:00,daily,daily,none_missing_bucket,0,1,0.0
taihu_thqbca_history,storage\raw\taihu_thqbca_parsed\thqbca_observations.csv,missing_bucket:1956-08-14T16:00:00+00:00,TAIHU_CLIMATE,,1956-08-14T16:00:00+00:00,,,precipitation,precipitation,,,mm,mm,derived,,False,,,"[""Q01"", ""Q22""]",True,1956-08-14T16:00:00+00:00,daily,daily,none_missing_bucket,0,1,0.0
taihu_thqbca_history,storage\raw\taihu_thqbca_parsed\thqbca_observations.csv,missing_bucket:1956-08-17T16:00:00+00:00,TAIHU_CLIMATE,,1956-08-17T16:00:00+00:00,,,precipitation,precipitation,,,mm,mm,derived,,False,,,"[""Q01"", ""Q22""]",True,1956-08-17T16:00:00+00:00,daily,daily,none_missing_bucket,0,1,0.0
taihu_thqbca_history,storage\raw\taihu_thqbca_parsed\thqbca_observations.csv,missing_bucket:1956-08-24T16:00:00+00:00,TAIHU_CLIMATE,,1956-08-24T16:00:00+00:00,,,precipitation,precipitation,,,mm,mm,derived,,False,,,"[""Q01"", ""Q22""]",True,1956-08-24T16:00:00+00:00,daily,daily,none_missing_bucket,0,1,0.0
taihu_thqbca_history,storage\raw\taihu_thqbca_parsed\thqbca_observations.csv,missing_bucket:1956-09-02T16:00:00+00:00,TAIHU_CLIMATE,,1956-09-02T16:00:00+00:00,,,precipitation,precipitation,,,mm,mm,derived,,False,,,"[""Q01"", ""Q22""]",True,1956-09-02T16:00:00+00:00,daily,daily,none_missing_bucket,0,1,0.0
taihu_thqbca_history,storage\raw\taihu_thqbca_parsed\thqbca_observations.csv,missing_bucket:1956-09-16T16:00:00+00:00,TAIHU_CLIMATE,,1956-09-16T16:00:00+00:00,,,precipitation,precipitation,,,mm,mm,derived,,False,,,"[""Q01"", ""Q22""]",True,1956-09-16T16:00:00+00:00,daily,daily,none_missing_bucket,0,1,0.0
taihu_thqbca_history,storage\raw\taihu_thqbca_parsed\thqbca_observations.csv,missing_bucket:1956-09-17T16:00:00+00:00,TAIHU_CLIMATE,,1956-09-17T16:00:00+00:00,,,precipitation,precipitation,,,mm,mm,derived,,False,,,"[""Q01"", ""Q22""]",True,1956-09-17T16:00:00+00:00,daily,daily,none_missing_bucket,0,1,0.0
taihu_thqbca_history,storage\raw\taihu_thqbca_parsed\thqbca_observations.csv,missing_bucket:1956-09-18T16:00:00+00:00,TAIHU_CLIMATE,,1956-09-18T16:00:00+00:00,,,precipitation,precipitation,,,mm,mm,derived,,False,,,"[""Q01"", ""Q22""]",True,1956-09-18T16:00:00+00:00,daily,daily,none_missing_bucket,0,1,0.0
taihu_thqbca_history,storage\raw\taihu_thqbca_parsed\thqbca_observations.csv,missing_bucket:1956-09-21T16:00:00+00:00,TAIHU_CLIMATE,,1956-09-21T16:00:00+00:00,,,precipitation,precipitation,,,mm,mm,derived,,False,,,"[""Q01"", ""Q22""]",True,1956-09-21T16:00:00+00:00,daily,daily,none_missing_bucket,0,1,0.0
taihu_thqbca_history,storage\raw\taihu_thqbca_parsed\thqbca_observations.csv,missing_bucket:1956-09-22T16:00:00+00:00,TAIHU_CLIMATE,,1956-09-22T16:00:00+00:00,,,precipitation,precipitation,,,mm,mm,derived,,False,,,"[""Q01"", ""Q22""]",True,1956-09-22T16:00:00+00:00,daily,daily,none_missing_bucket,0,1,0.0
taihu_thqbca_history,storage\raw\taihu_thqbca_parsed\thqbca_observations.csv,missing_bucket:1956-09-23T16:00:00+00:00,TAIHU_CLIMATE,,1956-09-23T16:00:00+00:00,,,precipitation,precipitation,,,mm,mm,derived,,False,,,"[""Q01"", ""Q22""]",True,1956-09-23T16:00:00+00:00,daily,daily,none_missing_bucket,0,1,0.0
taihu_thqbca_history,storage\raw\taihu_thqbca_parsed\thqbca_observations.csv,missing_bucket:1956-10-01T16:00:00+00:00,TAIHU_CLIMATE,,1956-10-01T16:00:00+00:00,,,precipitation,precipitation,,,mm,mm,derived,,False,,,"[""Q01"", ""Q22""]",True,1956-10-01T16:00:00+00:00,daily,daily,none_missing_bucket,0,1,0.0
taihu_thqbca_history,storage\raw\taihu_thqbca_parsed\thqbca_observations.csv,missing_bucket:1956-10-02T16:00:00+00:00,TAIHU_CLIMATE,,1956-10-02T16:00:00+00:00,,,precipitation,precipitation,,,mm,mm,derived,,False,,,"[""Q01"", ""Q22""]",True,1956-10-02T16:00:00+00:00,daily,daily,none_missing_bucket,0,1,0.0
taihu_thqbca_history,storage\raw\taihu_thqbca_parsed\thqbca_observations.csv,missing_bucket:1956-10-07T16:00:00+00:00,TAIHU_CLIMATE,,1956-10-07T16:00:00+00:00,,,precipitation,precipitation,,,mm,mm,derived,,False,,,"[""Q01"", ""Q22""]",True,1956-10-07T16:00:00+00:00,daily,daily,none_missing_bucket,0,1,0.0
taihu_thqbca_history,storage\raw\taihu_thqbca_parsed\thqbca_observations.csv,missing_bucket:1956-10-22T16:00:00+00:00,TAIHU_CLIMATE,,1956-10-22T16:00:00+00:00,,,precipitation,precipitation,,,mm,mm,derived,,False,,,"[""Q01"", ""Q22""]",True,1956-10-22T16:00:00+00:00,daily,daily,none_missing_bucket,0,1,0.0
taihu_thqbca_history,storage\raw\taihu_thqbca_parsed\thqbca_observations.csv,missing_bucket:1956-11-02T16:00:00+00:00,TAIHU_CLIMATE,,1956-11-02T16:00:00+00:00,,,precipitation,precipitation,,,mm,mm,derived,,False,,,"[""Q01"", ""Q22""]",True,1956-11-02T16:00:00+00:00,daily,daily,none_missing_bucket,0,1,0.0
taihu_thqbca_history,storage\raw\taihu_thqbca_parsed\thqbca_observations.csv,missing_bucket:1956-11-07T16:00:00+00:00,TAIHU_CLIMATE,,1956-11-07T16:00:00+00:00,,,precipitation,precipitation,,,mm,mm,derived,,False,,,"[""Q01"", ""Q22""]",True,1956-11-07T16:00:00+00:00,daily,daily,none_missing_bucket,0,1,0.0
taihu_thqbca_history,storage\raw\taihu_thqbca_parsed\thqbca_observations.csv,missing_bucket:1956-11-10T16:00:00+00:00,TAIHU_CLIMATE,,1956-11-10T16:00:00+00:00,,,precipitation,precipitation,,,mm,mm,derived,,False,,,"[""Q01"", ""Q22""]",True,1956-11-10T16:00:00+00:00,daily,daily,none_missing_bucket,0,1,0.0
taihu_thqbca_history,storage\raw\taihu_thqbca_parsed\thqbca_observations.csv,missing_bucket:1956-11-27T16:00:00+00:00,TAIHU_CLIMATE,,1956-11-27T16:00:00+00:00,,,precipitation,precipitation,,,mm,mm,derived,,False,,,"[""Q01"", ""Q22""]",True,1956-11-27T16:00:00+00:00,daily,daily,none_missing_bucket,0,1,0.0
taihu_thqbca_history,storage\raw\taihu_thqbca_parsed\thqbca_observations.csv,missing_bucket:1956-12-13T16:00:00+00:00,TAIHU_CLIMATE,,1956-12-13T16:00:00+00:00,,,precipitation,precipitation,,,mm,mm,derived,,False,,,"[""Q01"", ""Q22""]",True,1956-12-13T16:00:00+00:00,daily,daily,none_missing_bucket,0,1,0.0
taihu_thqbca_history,storage\raw\taihu_thqbca_parsed\thqbca_observations.csv,missing_bucket:1956-12-14T16:00:00+00:00,TAIHU_CLIMATE,,1956-12-14T16:00:00+00:00,,,precipitation,precipitation,,,mm,mm,derived,,False,,,"[""Q01"", ""Q22""]",True,1956-12-14T16:00:00+00:00,daily,daily,none_missing_bucket,0,1,0.0
taihu_thqbca_history,storage\raw\taihu_thqbca_parsed\thqbca_observations.csv,missing_bucket:1956-12-16T16:00:00+00:00,TAIHU_CLIMATE,,1956-12-16T16:00:00+00:00,,,precipitation,precipitation,,,mm,mm,derived,,False,,,"[""Q01"", ""Q22""]",True,1956-12-16T16:00:00+00:00,daily,daily,none_missing_bucket,0,1,0.0
taihu_thqbca_history,storage\raw\taihu_thqbca_parsed\thqbca_observations.csv,missing_bucket:1956-12-20T16:00:00+00:00,TAIHU_CLIMATE,,1956-12-20T16:00:00+00:00,,,precipitation,precipitation,,,mm,mm,derived,,False,,,"[""Q01"", ""Q22""]",True,1956-12-20T16:00:00+00:00,daily,daily,none_missing_bucket,0,1,0.0
taihu_thqbca_history,storage\raw\taihu_thqbca_parsed\thqbca_observations.csv,missing_bucket:1956-12-25T16:00:00+00:00,TAIHU_CLIMATE,,1956-12-25T16:00:00+00:00,,,precipitation,precipitation,,,mm,mm,derived,,False,,,"[""Q01"", ""Q22""]",True,1956-12-25T16:00:00+00:00,daily,daily,none_missing_bucket,0,1,0.0
taihu_thqbca_history,storage\raw\taihu_thqbca_parsed\thqbca_observations.csv,missing_bucket:1956-12-31T16:00:00+00:00,TAIHU_CLIMATE,,1956-12-31T16:00:00+00:00,,,precipitation,precipitation,,,mm,mm,derived,,False,,,"[""Q01"", ""Q22""]",True,1956-12-31T16:00:00+00:00,daily,daily,none_missing_bucket,0,1,0.0
taihu_thqbca_history,storage\raw\taihu_thqbca_parsed\thqbca_observations.csv,missing_bucket:1957-01-02T16:00:00+00:00,TAIHU_CLIMATE,,1957-01-02T16:00:00+00:00,,,precipitation,precipitation,,,mm,mm,derived,,False,,,"[""Q01"", ""Q22""]",True,1957-01-02T16:00:00+00:00,daily,daily,none_missing_bucket,0,1,0.0
taihu_thqbca_history,storage\raw\taihu_thqbca_parsed\thqbca_observations.csv,missing_bucket:1957-01-05T16:00:00+00:00,TAIHU_CLIMATE,,1957-01-05T16:00:00+00:00,,,precipitation,precipitation,,,mm,mm,derived,,False,,,"[""Q01"", ""Q22""]",True,1957-01-05T16:00:00+00:00,daily,daily,none_missing_bucket,0,1,0.0
taihu_thqbca_history,storage\raw\taihu_thqbca_parsed\thqbca_observations.csv,missing_bucket:1957-01-07T16:00:00+00:00,TAIHU_CLIMATE,,1957-01-07T16:00:00+00:00,,,precipitation,precipitation,,,mm,mm,derived,,False,,,"[""Q01"", ""Q22""]",True,1957-01-07T16:00:00+00:00,daily,daily,none_missing_bucket,0,1,0.0
taihu_thqbca_history,storage\raw\taihu_thqbca_parsed\thqbca_observations.csv,missing_bucket:1957-01-10T16:00:00+00:00,TAIHU_CLIMATE,,1957-01-10T16:00:00+00:00,,,precipitation,precipitation,,,mm,mm,derived,,False,,,"[""Q01"", ""Q22""]",True,1957-01-10T16:00:00+00:00,daily,daily,none_missing_bucket,0,1,0.0
taihu_thqbca_history,storage\raw\taihu_thqbca_parsed\thqbca_observations.csv,missing_bucket:1957-01-14T16:00:00+00:00,TAIHU_CLIMATE,,1957-01-14T16:00:00+00:00,,,precipitation,precipitation,,,mm,mm,derived,,False,,,"[""Q01"", ""Q22""]",True,1957-01-14T16:00:00+00:00,daily,daily,none_missing_bucket,0,1,0.0
taihu_thqbca_history,storage\raw\taihu_thqbca_parsed\thqbca_observations.csv,missing_bucket:1957-01-15T16:00:00+00:00,TAIHU_CLIMATE,,1957-01-15T16:00:00+00:00,,,precipitation,precipitation,,,mm,mm,derived,,False,,,"[""Q01"", ""Q22""]",True,1957-01-15T16:00:00+00:00,daily,daily,none_missing_bucket,0,1,0.0
