grid_id,experimental_zone_id,centroid_x_m,centroid_y_m,water_area_m2
TH_G_214_3437,EXP_ZONE_03,214500.0000000005,3437500.0,1000000.0000003783
TH_G_214_3438,EXP_ZONE_03,214499.9999999998,3438499.9999999995,1000000.000001106
TH_G_214_3439,EXP_ZONE_03,214499.99999999942,3439499.999999999,999999.9999995925
TH_G_214_3440,EXP_ZONE_03,214499.99999999933,3440500.0,1000000.0000000873
TH_G_214_3441,EXP_ZONE_03,214500.0000000003,3441500.0,1000000.0000010186
TH_G_214_3442,EXP_ZONE_03,214500.00000000076,3442500.0,999999.9999998836
TH_G_214_3443,EXP_ZONE_03,214500.00000000023,3443499.9999999995,1000000.0000000291
TH_G_214_3444,EXP_ZONE_04,214499.99999999997,3444500.0,999999.9999993597
TH_G_214_3445,EXP_ZONE_04,214500.00000000023,3445500.0,999999.9999996508
TH_G_214_3446,EXP_ZONE_04,214500.00000000032,3446500.000000001,999999.9999996217
TH_G_214_3447,EXP_ZONE_04,214500.0000000005,3447500.0000000005,1000000.0000016298
TH_G_214_3448,EXP_ZONE_04,214500.00000000032,3448499.9999999995,999999.999999709
TH_G_214_3449,EXP_ZONE_04,214499.9999999997,3449500.0,1000000.0000003492
TH_G_214_3450,EXP_ZONE_04,214499.99999999936,3450499.9999999995,1000000.0000003201
TH_G_214_3451,EXP_ZONE_04,214499.99999999936,3451499.999999999,1000000.0000001164
TH_G_214_3452,EXP_ZONE_04,214500.0000000002,3452499.9999999995,999999.999999447
TH_G_214_3453,EXP_ZONE_04,214499.99999999988,3453499.9999999995,1000000.0000003492
TH_G_214_3454,EXP_ZONE_04,214499.99999999988,3454500.0,1000000.0000001746
TH_G_214_3455,EXP_ZONE_04,214499.99999999953,3455500.0,1000000.0
TH_G_214_3456,EXP_ZONE_04,214499.99999999953,3456499.9999999995,999999.9999994761
TH_G_214_3457,EXP_ZONE_04,214499.99999999948,3457500.0,999999.9999992724
TH_G_214_3458,EXP_ZONE_04,214499.99999999965,3458500.0,1000000.0000018335
TH_G_214_3459,EXP_ZONE_04,214500.00000000006,3459500.0,1000000.0000004657
TH_G_214_3460,EXP_ZONE_04,214499.99999999977,3460500.0,999999.9999990105
TH_G_214_3461,EXP_ZONE_04,214499.99999999997,3461500.0,999999.9999993597
TH_G_214_3462,EXP_ZONE_04,214500.00000000044,3462500.0,999999.9999994179
TH_G_214_3463,EXP_ZONE_04,214500.00000000044,3463499.9999999995,999999.9999982829
TH_G_215_3424,EXP_ZONE_03,215500.00000000006,3424500.0,1000000.0000000582
TH_G_215_3425,EXP_ZONE_03,215499.9999999997,3425499.9999999995,1000000.0000006985
TH_G_215_3426,EXP_ZONE_03,215499.99999999997,3426500.0,1000000.0000009895
TH_G_215_3427,EXP_ZONE_03,215500.00000000032,3427500.0,999999.9999991269
TH_G_215_3428,EXP_ZONE_03,215500.00000000035,3428499.999999999,1000000.0000000873
TH_G_215_3429,EXP_ZONE_03,215500.00000000023,3429500.0000000005,1000000.0000017171
TH_G_215_3430,EXP_ZONE_03,215500.00000000017,3430499.9999999995,999999.9999993015
TH_G_215_3431,EXP_ZONE_03,215499.99999999994,3431500.0,999999.9999990978
